,Company Name,Company Code
381,"CNSIG Inner Mongolia Chemical Industry Co., Ltd.",600328
382,TIANJIN PHARMACEUTICAL DA REN TANG GROUP CORPORATION LIMITED,600329
383,"TDG HOLDING CO.,LTD.",600330
384,"SICHUAN  HONGDA CO.,LTD.",600331
385,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,600332
386,"Changchun Gas Co.,Ltd",600333
387,"Sinomach Automobile Co., Ltd.",600335
388,AUCMA COMPANY LIMITED,600336
389,"Markor International Home Furnishings Co., Ltd.",600337
390,"XIZANG ZHUFENG RESOURCES CO.,LTD.",600338
391,"China Petroleum Engineering Co., Ltd.",600339
392,CHINA FORTUNE LAND DEVELOPMENT CO.，LTD.,600340
393,"SHAANXI AEROSPACE POWER HI-TECH CO.,LTD",600343
394,"Wuhan Yangtze Communications Industry Group Co.,Ltd.",600345
395,"HENGLI PETROCHEMICAL CO.,LTD.",600346
396,"SHAN XI HUA YANG GROUP NEW ENERGY CO.,LTD.",600348
397,Shandong Hi-speed Company Limited,600350
398,"YABAO PHARMACEUTICAL GROUP CO., LTD.",600351
399,"Zhejiang Longsheng Group Co.,ltd",600352
400,"CHENGDU XUGUANG ELECTRONICS CO,.LTD",600353
401,"Gansu Dunhuang Seed Co.,Ltd.",600354
402,"MUDANJIANG HENGFENG PAPER CO.,LTD.",600356
403,"Xinjiang Talimu Agriculture Development Co.,Ltd.",600359
404,"INNOVATION NEW MATERIAL TECHNOLOGY CO., LTD.",600361
405,Jiangxi Copper Company Limited,600362
406,"JIANXI LIANCHUANG OPTO-ELECTRONIC SCIENCE&TECHNOLOGY CO.,LTD",600363
407,"NINGBO YUNSHENG  CO.,LTD.",600366
408,"GUIZHOU REDSTAR DEVELOPING CO.,LTD.",600367
409,"GUANGXI WUZHOU COMMUNICATIONS CO.,LTD.",600368
410,Southwest Securities Co.，Ltd.,600369
411,"Jiangsu Sanfame Polyester Material Co.,Ltd.",600370
412,"WanXiang Doneed CO. ,LTD.",600371
413,"AVIC Airborne Systems Co., Ltd.",600372
414,"CHINESE UNIVERSE PUBLISHING AND MEDIA GROUP CO., LTD.",600373
415,"HANMA TECHNOLOGY GROUP CO.,LTD.",600375
416,"Beijing Capital Development,Co.,Ltd",600376
417,Jiangsu Expressway Company Limited,600377
418,"Haohua Chemical Science & Technology Corp., Ltd.",600378
419,"SHAANXI BAOGUANG VACUUM ELECTRIC DEVICE CO., LTD.",600379
420,"Joincare Pharmaceutical Group Industry Co.,Ltd.",600380
421,"Guangdong Mingzhu Group Co.,Ltd.",600382
422,Gemdale Corporation,600383
423,"BEIJING BASHI MEDIA CO,.LTD",600386
424,"Fujian Longking Co.,LTD",600388
425,"Nantong Jiangshan Agrochemical & Chemicals Co., Ltd.",600389
426,MINMETALS CAPITAL COMPANY LIMITED,600390
427,"AECC AERO SCIENCE AND TECHNOLOGY CO.,LTD.",600391
428,Shenghe Resources Holding Co. Ltd,600392
429,"Guizhou Panjiang Refined Coal Co.,Ltd.",600395
430,"HUADIAN LIAONING ENERGY DEVELOPMENT CO., LTD",600396
431,"Jiangxi Tungsten Rare And Precious Equipment Co., Ltd.",600397
432,"HLA GROUP CORP.,LTD.",600398
433,"Fushun Special Steel Co.,LTD",600399
434,"Jiangsu Hongdou Industrial Co., Ltd.",600400
435,"HENAN DAYOU ENERGY CO., LTD",600403
436,"Beijing Dynamic Power Co., Ltd",600405
437,"NARI Technology Co., Ltd.",600406
438,"SHANXI ANTAI GROUP CO.,LTD.",600408
439,"Tangshan Sanyou Chemical Industries Co.,Ltd",600409
440,"Beijing Teamsun Technology Co.,Ltd",600410
441,"ZheJiang China Commodities City Group Co.,Ltd.",600415
442,"Xiangtan Electric Manufacturing Co., Ltd.",600416
443,"Anhui Jianghuai Automobile Group Corp.,Ltd",600418
444,"Xinjiang Tianrun Dairy Co., Ltd.",600419
445,"Shanghai Shyndec Pharmaceutical  Co., Ltd.",600420
446,"KPC Pharmaceuticals, Inc.",600422
447,"Liuzhou Chemical Industry Co., LTD",600423
448,"XINJIANG QINGSONG BUILDING MATERIALS AND CHEMICALS (GROUP) CO., LTD.",600425
449,SHANDONG HUALU-HENGSHENG CHEMICAL CO.，LTD,600426
450,"COSCO SHIPPING Specialized Carriers Co., Ltd.",600428
451,"BEIJING SANYUAN FOODS CO.,LTD.",600429
452,"Guangdong Guanhao High-tech Co., Ltd",600433
453,"North Navigation Control Technology Co., Ltd.",600435
454,"ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL CO.,LTD.",600436
455,"TONGWEI CO.,LTD",600438
456,"HENAN REBECCA HAIR PRODUCTS CO., LTD",600439
457,"Sinomach General Machinery Science & Technology Co.,Ltd.",600444
458,"SHENZHEN KINGDOM SCI-TECH CO., LTD",600446
459,"HUAFANG CO.,LTD",600448
460,"NINGXIA BUILDING MATERIALS GROUP Co.,Ltd",600449
461,"CHONGQING FULING ELECTRIC POWER INDUSTRIAL CO.,LTD.",600452
462,"But'one Information Corporation, Xi'an",600455
463,"BAOJI TITANIUM INDUSTRY CO., LTD",600456
464,"ZHUZHOU TIMES NEW MATERIALS TECHNOLOGY CO.,LTD.",600458
465,"SINO-PLATINUM METALS CO.,LTD.",600459
466,"Hangzhou Silan Microelectronics Co.,Ltd.",600460
467,"JIANGXI HONGCHENG ENVIRONMENT CO., LTD.",600461
468,"Beijing Airport High-Tech Park Co.,Ltd.",600463
469,"SHANDONG  HOMEY  AQUATIC  DEVELOPMENT  CO.,LTD.",600467
470,"TIANJIN BENEFO TEJING ELECTRIC CO.,LTD.",600468
471,"AEOLUS TYRE CO.,LTD",600469
472,"Anhui Liuguo Chemical Co.,Ltd.",600470
